N°	S1		S2		S3		Temps en piste	Best		PIT	OUT	

16	28.267|37.040|32.913	345.730		98.220		1		
26	39.856|33.024|27.267	339.100		100.147		2		
5	28.647|30.471|31.175	394.184		120.402		3		
33	28.847|26.812|37.077	341.016		122.345		1		
18	39.434|26.538|31.192	396.293		126.282		3		
23	29.358|33.428|43.244	426.659		135.473		3		
3	39.798|26.069|44.998	436.228		139.264		3		
77	28.389|40.856|42.202	146.110		146.110		1	X	
8	39.758|36.661|40.628	303.228		146.756		2		
7	39.746|39.908|39.328	428.154		148.093		3		
