N°	S1		S2		S3		Temps en piste	Best		PIT	OUT	

55	27.375|28.419|32.018	625.102			87.812		2		
16	35.058|27.801|25.880	641.432			88.738		4		
7	31.822|25.984|34.536	645.880			92.342		4		
11	39.232|42.410|37.638	503.931			97.072		3	X	
4	39.027|29.499|29.317	674.840			97.842		4		
31	28.660|40.964|28.283	606.805			97.907		2		
20	31.539|29.616|38.579	625.602			99.735		3		
33	34.595|36.467|40.353	686.162			111.414		4		
10	26.049|30.138|26.157	663.457			112.010		4		
6	29.374|30.021|29.424	684.252			124.043		5		
5	26.039|32.547|44.342	731.057			134.527		5		
77	38.505|34.277|32.078	672.193			135.112		5		
18	38.038|36.624|33.764	667.087			141.315		4		
99	44.791|34.048|25.369	623.107			147.417		3		
63	41.126|33.124|32.498	280.135			147.484		2	X	
23	32.681|39.866|35.728	672.685			150.078		4		
26	44.581|33.967|42.081	727.181			155.602		5		
8	42.172|42.131|27.513	729.892			156.148		5		
44	33.305|44.925|36.340	600.847			158.229		4		
3	25.839|39.252|44.357	NULL			999.900		0	X	
