N°	S1		S2		S3		Temps en piste	Best		PIT	OUT	

3	38.427|25.291|29.092	955.525		92.810		6		
55	35.782|28.222|28.896	924.823		92.900		6		
6	32.634|36.461|26.516	242.312		95.351		1	X	
23	27.089|37.619|30.684	934.320		95.392		6		
8	25.671|34.773|36.619	1031.910		97.063		6		
5	35.612|28.914|33.081	924.562		97.606		4		
4	29.579|36.687|32.023	1031.039		98.289		6		
26	27.110|44.095|29.024	993.125		100.229		6		
44	35.568|39.121|26.282	1018.621		100.971		5		
10	29.119|43.877|30.744	993.755		103.740		6		
99	34.263|27.071|42.848	945.390		104.182		5		
18	44.024|31.556|32.320	919.046		107.900		5		
63	39.696|25.250|26.121	953.998		117.484		6		
20	31.385|27.611|27.662	927.573		120.669		6		
16	26.828|29.575|38.728	977.432		138.301		6		
31	40.867|26.782|37.143	970.103		140.434		7		
77	35.305|40.529|26.553	955.177		145.144		6		
33	32.370|41.772|40.004	1007.206		146.743		7		
11	41.153|33.986|36.295	923.949		147.494		6		
7	31.649|42.724|36.305	1018.024		155.312		6		
