N°	S1	S2	S3	Temps en piste	Best		PIT	OUT	

0	NULL|
NULL|NULL	NULL		0.000		0		
7	27.753|26.100|29.270	923.819	83.124		5		
26	27.980|29.311|37.248	1026.437	94.539		5		
16	27.051|29.815|27.312	1000.970	109.674	7		
55	30.721|25.736|27.867	948.856	117.899	7		
23	29.017|27.565|34.024	1005.777	119.766	7		
18	30.850|28.098|32.818	1027.379	120.492	7		
63	27.218|26.377|38.541	934.350	124.442	6		
3	40.678|26.566|34.265	964.443	128.020	6		
20	32.250|34.653|28.043	959.102	128.381	6		
8	26.815|39.912|29.134	253.898	130.202	2	X	
6	40.474|29.489|35.332	962.842	131.530	7		
10	26.046|38.727|44.958	940.497	135.653	6		
4	38.686|28.026|30.056	922.038	138.431	5		
5	43.037|25.659|43.579	140.885	140.885	1	X	
33	25.495|44.004|36.982	997.757	141.177	7		
44	39.959|26.587|36.497	554.262	142.906	4	X	
77	27.947|43.314|31.703	1018.936	143.422	6		
11	31.478|40.738|36.142	974.838	143.484	7		
31	43.609|29.590|40.579	916.517	154.116	5		
