N°	S1		S2		S3		Temps en piste	Best		PIT	OUT	

16	30.457|32.717|27.996	262.789		91.169		1		
77	40.418|27.003|34.831	240.070		102.252		1		
23	27.632|35.330|40.946	261.267		103.909		1		
5	27.604|30.920|44.026	129.245		129.245		1		
26	29.052|30.010|38.975	129.937		129.937		1		
33	41.955|31.821|33.020	140.101		140.101		1		
18	43.348|26.507|41.062	140.145		140.145		1		
3	26.277|38.321|35.072	140.310		140.310		1		
7	40.574|34.876|37.208	140.692		140.692		1		
8	44.654|33.430|26.807	149.361		149.361		1		
